#{"env_id": "MountainCar-v0", "t_start": 1518014083.279501}
r,l,t
-200.0,200,762.743912
-151.0,151,763.862927
-200.0,200,765.209434
-114.0,114,765.978956
-148.0,148,766.983862
-143.0,143,767.927735
-200.0,200,769.417313
-200.0,200,771.032552
-200.0,200,772.61895
-116.0,116,773.381264
-85.0,85,773.961182
-151.0,151,775.150679
-200.0,200,776.581356
-143.0,143,777.677289
-152.0,152,778.812174
-200.0,200,780.202315
-148.0,148,781.152448
-167.0,167,782.556669
-200.0,200,783.918255
-200.0,200,785.557441
-200.0,200,786.946132
-147.0,147,788.113945
-200.0,200,789.598786
-200.0,200,793.423517
-200.0,200,795.831861
-200.0,200,797.213191
-200.0,200,798.600213
-113.0,113,799.345288
-200.0,200,800.775783
-155.0,155,801.826134
-112.0,112,802.628719
-200.0,200,803.950067
-85.0,85,804.540728
-103.0,103,805.240891
-86.0,86,805.847871
-200.0,200,807.194353
-200.0,200,808.551396
-200.0,200,809.88867
-200.0,200,811.568589
-200.0,200,812.971233
-100.0,100,813.640204
-154.0,154,814.680212
-200.0,200,816.071298
-176.0,176,817.269243
-95.0,95,817.99529
-200.0,200,819.614663
-185.0,185,820.895754
-175.0,175,822.115473
-200.0,200,823.506045
-107.0,107,824.205576
-162.0,162,825.48047
-97.0,97,826.146553
-173.0,173,827.335137
-200.0,200,828.663627
-127.0,127,829.572827
-155.0,155,830.644209
-200.0,200,832.037311
-101.0,101,832.713804
-147.0,147,833.724236
-169.0,169,834.891968
-94.0,94,835.57177
-86.0,86,836.114857
-181.0,181,837.412781
-158.0,158,838.48542
-94.0,94,839.159823
-88.0,88,839.734434
-182.0,182,841.132093
-200.0,200,842.545056
-159.0,159,844.173757
-85.0,85,844.970724
-93.0,93,845.623586
-185.0,185,846.880302
-85.0,85,847.472093
-187.0,187,848.698604
-155.0,155,849.673311
-174.0,174,850.870221
-158.0,158,851.938678
-84.0,84,852.495453
-113.0,113,853.34525
-100.0,100,854.007881
-162.0,162,855.109697
-178.0,178,856.452574
-165.0,165,857.785922
-169.0,169,859.048728
-200.0,200,860.768278
-151.0,151,861.989327
-87.0,87,862.874997
-200.0,200,864.21188
-84.0,84,864.821225
-179.0,179,866.012778
-200.0,200,867.323723
-91.0,91,867.932534
-159.0,159,869.053825
-178.0,178,870.220381
-174.0,174,871.42946
-92.0,92,872.033344
-200.0,200,873.36681
-186.0,186,874.831236
-100.0,100,875.612984
-200.0,200,876.911959
-200.0,200,878.26758
-90.0,90,878.939909
-200.0,200,880.472364
-200.0,200,881.895931
-102.0,102,882.868161
-200.0,200,884.204401
-99.0,99,884.977423
-200.0,200,886.363684
-200.0,200,887.805725
-128.0,128,888.634328
-175.0,175,889.873647
-200.0,200,891.250722
-194.0,194,892.550317
-171.0,171,893.729574
-200.0,200,895.123047
-200.0,200,896.486909
-200.0,200,897.905254
-200.0,200,899.302427
-200.0,200,900.633046
-200.0,200,902.022609
-200.0,200,903.469555
-200.0,200,905.34018
-200.0,200,907.044452
-200.0,200,908.516625
-200.0,200,910.022568
-200.0,200,911.480757
-174.0,174,912.628838
-200.0,200,913.870122
-200.0,200,915.109534
-200.0,200,916.473799
-200.0,200,917.827206
-200.0,200,919.340152
-200.0,200,920.681974
-200.0,200,922.048115
-200.0,200,923.36654
-200.0,200,924.780991
-157.0,157,925.923093
-200.0,200,927.160416
-200.0,200,928.541594
-200.0,200,930.154341
-200.0,200,931.742106
-200.0,200,933.126262
-200.0,200,934.602693
-200.0,200,935.954999
-200.0,200,937.592821
-200.0,200,938.92187
-200.0,200,940.128178
-200.0,200,941.341322
-200.0,200,942.777779
-200.0,200,944.464257
-200.0,200,946.162574
-200.0,200,947.508271
-200.0,200,948.864527
-200.0,200,950.212734
-200.0,200,951.565836
-200.0,200,952.953252
-200.0,200,954.291375
-200.0,200,955.636563
-200.0,200,957.022252
-200.0,200,958.368829
-200.0,200,959.695446
-200.0,200,961.038249
-200.0,200,962.391861
-200.0,200,963.744681
-200.0,200,965.11026
-200.0,200,966.462732
-200.0,200,967.839496
-200.0,200,969.181804
-200.0,200,970.549109
-200.0,200,971.881895
-200.0,200,973.377924
-200.0,200,974.971063
-200.0,200,976.345002
-200.0,200,977.762413
-200.0,200,979.157985
-200.0,200,980.550672
-200.0,200,981.917908
-200.0,200,983.28129
-200.0,200,984.686835
-200.0,200,986.068381
-200.0,200,987.419311
-200.0,200,988.883125
-200.0,200,990.249813
-200.0,200,991.557555
-200.0,200,992.890844
-200.0,200,994.232506
-200.0,200,995.590323
-200.0,200,996.943123
-200.0,200,998.310217
-200.0,200,999.702691
-200.0,200,1001.082849
-200.0,200,1002.453862
-200.0,200,1003.858552
-200.0,200,1005.194733
-200.0,200,1006.638319
-200.0,200,1008.043423
-200.0,200,1009.396264
-200.0,200,1010.766362
-200.0,200,1012.168766
-200.0,200,1013.493371
-200.0,200,1014.837474
-200.0,200,1016.481034
-200.0,200,1017.934763
-200.0,200,1019.573341
-200.0,200,1021.02966
-200.0,200,1022.479947
-200.0,200,1024.101847
-200.0,200,1025.547441
-200.0,200,1026.979441
-200.0,200,1028.327828
-200.0,200,1029.718797
-200.0,200,1031.159156
-200.0,200,1032.651896
-200.0,200,1034.070284
-200.0,200,1035.574248
-200.0,200,1036.917957
-200.0,200,1038.560464
-200.0,200,1039.949503
-200.0,200,1041.266586
-200.0,200,1042.578957
-200.0,200,1044.043954
-200.0,200,1045.363756
-200.0,200,1046.782305
-200.0,200,1048.147442
-200.0,200,1049.700877
-200.0,200,1051.150312
-200.0,200,1052.515111
-200.0,200,1054.151208
-200.0,200,1055.563299
-200.0,200,1056.967032
-200.0,200,1058.309056
-200.0,200,1059.767956
-200.0,200,1061.482419
-200.0,200,1062.863091
-200.0,200,1064.242623
-200.0,200,1065.714588
-200.0,200,1067.159345
-200.0,200,1068.569438
-200.0,200,1070.108565
-200.0,200,1071.43463
-200.0,200,1072.652472
-200.0,200,1074.076463
-200.0,200,1075.729879
-200.0,200,1077.310967
-200.0,200,1078.681857
-200.0,200,1080.352645
-200.0,200,1081.844394
-200.0,200,1083.225983
-200.0,200,1084.581622
-200.0,200,1085.932344
-200.0,200,1087.309313
-200.0,200,1088.68911
-200.0,200,1090.077715
-200.0,200,1091.659904
-200.0,200,1093.025207
-200.0,200,1094.354606
-200.0,200,1095.748409
-200.0,200,1097.152354
-200.0,200,1098.575898
-200.0,200,1099.979636
-200.0,200,1101.32786
-200.0,200,1102.656163
-200.0,200,1104.091113
-200.0,200,1105.491575
-200.0,200,1106.859796
-200.0,200,1108.218802
-200.0,200,1109.63221
-200.0,200,1110.971616
-200.0,200,1112.512771
-200.0,200,1114.425334
-200.0,200,1116.166448
-200.0,200,1118.009555
-200.0,200,1119.49635
-200.0,200,1120.952113
-200.0,200,1122.457007
-200.0,200,1124.152369
-200.0,200,1125.857623
-200.0,200,1127.190605
-200.0,200,1128.869341
-200.0,200,1130.305544
-200.0,200,1131.629114
-200.0,200,1133.032125
-200.0,200,1134.635147
-200.0,200,1136.025519
-200.0,200,1137.396336
-200.0,200,1138.734028
-200.0,200,1140.090042
-200.0,200,1141.449975
-200.0,200,1142.975123
-200.0,200,1144.623214
-200.0,200,1145.94123
-200.0,200,1147.371132
-200.0,200,1148.813179
-200.0,200,1150.204528
-200.0,200,1151.574292
-200.0,200,1152.974759
-200.0,200,1154.416178
-200.0,200,1155.846271
-200.0,200,1157.354654
-200.0,200,1158.756669
-200.0,200,1160.094056
-200.0,200,1161.448574
-200.0,200,1162.833279
-200.0,200,1164.216455
-200.0,200,1165.570757
-200.0,200,1166.929288
-200.0,200,1168.33428
-200.0,200,1169.686028
-200.0,200,1171.058805
-200.0,200,1172.639482
-200.0,200,1174.227008
-200.0,200,1175.85617
-200.0,200,1177.228126
-200.0,200,1178.875208
-200.0,200,1180.292078
-200.0,200,1181.767262
-200.0,200,1183.156663
-200.0,200,1184.516152
-200.0,200,1186.026809
-200.0,200,1187.670873
-200.0,200,1188.973678
-200.0,200,1190.502336
-200.0,200,1191.923476
-200.0,200,1193.287459
-200.0,200,1194.675315
-200.0,200,1196.135312
-200.0,200,1197.592243
-200.0,200,1199.135117
-200.0,200,1200.533228
-200.0,200,1201.942767
-200.0,200,1203.289857
-200.0,200,1204.639399
-200.0,200,1206.014401
-200.0,200,1207.392963
-200.0,200,1208.765159
-182.0,182,1210.025732
-200.0,200,1211.378487
-200.0,200,1212.765272
-200.0,200,1214.138686
-200.0,200,1215.476843
-200.0,200,1216.849941
-200.0,200,1218.271804
-200.0,200,1219.663421
-200.0,200,1220.998213
-200.0,200,1222.61887
-98.0,98,1223.606459
-200.0,200,1225.218612
-200.0,200,1226.558023
-200.0,200,1227.944358
-200.0,200,1229.259903
-200.0,200,1230.648341
-200.0,200,1232.008442
-200.0,200,1233.406164
-200.0,200,1234.690745
-200.0,200,1236.019427
-200.0,200,1237.393868
-200.0,200,1238.676135
-200.0,200,1240.016573
-200.0,200,1241.672385
-200.0,200,1242.989013
-151.0,151,1243.966645
-200.0,200,1245.340114
-200.0,200,1246.714131
-200.0,200,1248.017248
-200.0,200,1249.398946
-200.0,200,1250.731229
-160.0,160,1252.042049
-200.0,200,1253.640867
-200.0,200,1255.313286
-200.0,200,1256.872916
-200.0,200,1258.321659
-200.0,200,1259.573182
-200.0,200,1260.84144
-200.0,200,1262.336521
-200.0,200,1264.003804
-200.0,200,1265.676635
-200.0,200,1267.090712
-200.0,200,1268.503878
-200.0,200,1269.955187
-200.0,200,1271.341151
-200.0,200,1272.816088
-200.0,200,1274.527118
-200.0,200,1275.934603
-200.0,200,1277.302499
-200.0,200,1278.641406
-200.0,200,1280.01709
-200.0,200,1281.411923
-200.0,200,1282.767964
-200.0,200,1284.20866
-200.0,200,1285.572857
-200.0,200,1286.913769
-200.0,200,1288.741959
-200.0,200,1290.267729
-200.0,200,1291.622743
-200.0,200,1292.925
-200.0,200,1294.267477
-200.0,200,1295.597528
-200.0,200,1296.923155
-200.0,200,1298.31676
-200.0,200,1299.673294
-200.0,200,1300.999501
-200.0,200,1302.311989
-200.0,200,1303.667616
-200.0,200,1305.08863
-200.0,200,1306.446316
-200.0,200,1307.811368
-200.0,200,1309.171597
-200.0,200,1310.535927
-200.0,200,1311.879167
-200.0,200,1313.259452
-200.0,200,1314.595346
-200.0,200,1315.959135
-200.0,200,1317.360719
-200.0,200,1318.690817
-200.0,200,1320.036398
-200.0,200,1321.333049
-200.0,200,1322.728425
-200.0,200,1324.068165
-200.0,200,1325.608997
-200.0,200,1327.379111
-200.0,200,1328.740548
-200.0,200,1330.044615
-200.0,200,1331.419515
-200.0,200,1332.844682
-200.0,200,1334.17811
-200.0,200,1335.52306
-200.0,200,1336.886824
-200.0,200,1338.568696
-200.0,200,1339.966464
-200.0,200,1341.343138
-200.0,200,1342.691254
-200.0,200,1344.033108
-200.0,200,1345.409709
-200.0,200,1346.835042
-200.0,200,1348.232566
-200.0,200,1349.604138
-200.0,200,1350.99921
-200.0,200,1352.406171
-200.0,200,1353.775813
-200.0,200,1355.153647
-200.0,200,1356.541216
-200.0,200,1357.985285
-200.0,200,1359.511598
-200.0,200,1361.123436
-200.0,200,1362.420225
-200.0,200,1363.72039
-200.0,200,1364.923306
-200.0,200,1366.117945
-200.0,200,1367.335337
-200.0,200,1368.651799
-200.0,200,1370.114671
-200.0,200,1371.625232
-200.0,200,1372.848952
-200.0,200,1374.088696
-200.0,200,1375.298808
-200.0,200,1376.53793
-200.0,200,1377.758542
